source,target,data_size
21,24,1024
21,25,1024
22,24,1024
22,25,1024
23,24,1024
23,25,1024
26,1,1024
26,2,1024
26,3,1024
26,4,1024
26,5,1024
26,6,1024
26,7,1024
26,8,1024
26,9,1024
26,10,1024
26,11,1024
26,12,1024
26,13,1024
26,14,1024
26,15,1024
26,16,1024
26,17,1024
26,21,1024
26,22,1024
26,23,1024
26,27,1024
26,28,1024
26,29,1024
26,30,1024
26,95,1024
27,1,1024
27,2,1024
27,3,1024
27,4,1024
27,5,1024
27,6,1024
27,7,1024
27,8,1024
27,9,1024
27,10,1024
27,11,1024
27,12,1024
27,13,1024
27,14,1024
27,15,1024
27,16,1024
27,17,1024
27,28,1024
27,29,1024
27,30,1024
27,95,1024
28,29,1024
28,30,1024
31,32,1024
31,33,1024
31,34,1024
31,35,1024
32,33,1024
32,34,1024
32,35,1024
33,34,1024
33,35,1024
36,37,1024
36,38,1024
36,39,1024
36,40,1024
37,38,1024
37,39,1024
37,40,1024
38,39,1024
38,40,1024
41,42,1024
41,43,1024
41,44,1024
41,45,1024
42,43,1024
42,44,1024
42,45,1024
43,44,1024
43,45,1024
47,48,1024
47,49,1024
47,50,1024
47,51,1024
47,52,1024
47,53,1024
47,54,1024
47,55,1024
47,56,1024
47,57,1024
47,58,1024
47,59,1024
47,60,1024
47,61,1024
47,62,1024
47,63,1024
47,64,1024
47,65,1024
47,66,1024
47,67,1024
47,68,1024
47,69,1024
47,70,1024
47,71,1024
47,72,1024
47,73,1024
47,74,1024
47,75,1024
47,76,1024
47,77,1024
47,78,1024
47,79,1024
80,81,1024
80,82,1024
80,83,1024
80,84,1024
80,85,1024
80,86,1024
80,87,1024
80,88,1024
80,89,1024
80,90,1024
80,91,1024
80,92,1024
80,93,1024
80,94,1024
80,95,1024
80,96,1024
80,97,1024
80,98,1024
94,1,1024
94,2,1024
94,3,1024
94,4,1024
94,5,1024
94,6,1024
94,7,1024
94,8,1024
94,9,1024
94,10,1024
94,11,1024
94,12,1024
94,13,1024
94,14,1024
94,15,1024
94,16,1024
94,17,1024
94,95,1024
102,105,1024
102,106,1024
103,105,1024
103,106,1024
104,105,1024
104,106,1024
107,47,1024
107,48,1024
107,49,1024
107,50,1024
107,51,1024
107,52,1024
107,53,1024
107,54,1024
107,55,1024
107,56,1024
107,57,1024
107,58,1024
107,59,1024
107,60,1024
107,61,1024
107,62,1024
107,63,1024
107,64,1024
107,65,1024
107,66,1024
107,67,1024
107,68,1024
107,69,1024
107,70,1024
107,71,1024
107,72,1024
107,73,1024
107,74,1024
107,75,1024
107,76,1024
107,77,1024
107,78,1024
107,79,1024
107,81,1024
107,82,1024
107,83,1024
107,84,1024
107,85,1024
107,86,1024
107,87,1024
107,88,1024
107,89,1024
107,90,1024
107,91,1024
107,92,1024
107,93,1024
107,94,1024
107,95,1024
107,96,1024
107,97,1024
107,98,1024
107,102,1024
107,103,1024
107,104,1024
107,108,1024
107,109,1024
107,110,1024
107,111,1024
108,47,1024
108,48,1024
108,49,1024
108,50,1024
108,51,1024
108,52,1024
108,53,1024
108,54,1024
108,55,1024
108,56,1024
108,57,1024
108,58,1024
108,59,1024
108,60,1024
108,61,1024
108,62,1024
108,63,1024
108,64,1024
108,65,1024
108,66,1024
108,67,1024
108,68,1024
108,69,1024
108,70,1024
108,71,1024
108,72,1024
108,73,1024
108,74,1024
108,75,1024
108,76,1024
108,77,1024
108,78,1024
108,79,1024
108,81,1024
108,82,1024
108,83,1024
108,84,1024
108,85,1024
108,86,1024
108,87,1024
108,88,1024
108,89,1024
108,90,1024
108,91,1024
108,92,1024
108,93,1024
108,94,1024
108,95,1024
108,96,1024
108,97,1024
108,98,1024
108,109,1024
108,110,1024
108,111,1024
109,110,1024
109,111,1024
112,113,1024
112,114,1024
112,115,1024
112,116,1024
113,114,1024
113,115,1024
113,116,1024
114,115,1024
114,116,1024
117,118,1024
117,119,1024
117,120,1024
117,121,1024
118,119,1024
118,120,1024
118,121,1024
119,120,1024
119,121,1024
122,123,1024
122,124,1024
122,125,1024
122,126,1024
123,124,1024
123,125,1024
123,126,1024
124,125,1024
124,126,1024
